Provinsi,Perkotaan,Perdesaan,Perkotaan+Perdesaan
ACEH,19.43,7.82,11.6
SUMATERA UTARA,17.99,8.82,13.83
SUMATERA BARAT,23.38,10.21,16.42
RIAU,22.95,7.77,13.9
JAMBI,20.29,8.22,12.14
SUMATERA SELATAN,18.29,6.47,10.89
BENGKULU,28.46,8.05,14.83
LAMPUNG,15.42,7.05,9.65
KEP. BANGKA BELITUNG,16.01,8.85,12.81
KEP. RIAU,19.73,8.1,18.55
DKI JAKARTA,23.7,-,23.7
JAWA BARAT,16.87,6.99,14.56
JAWA TENGAH,16.65,8.76,12.81
DI YOGYAKARTA,28.34,11.41,23.75
JAWA TIMUR,17.98,8.71,13.66
BANTEN,16.38,5.98,13.44
BALI,21.54,9.96,17.93
NUSA TENGGARA BARAT,16.58,8.67,12.5
NUSA TENGGARA TIMUR,25.83,7.78,12.14
KALIMANTAN BARAT,19.85,5.59,10.6
KALIMANTAN TENGAH,21.26,7.68,13.15
KALIMANTAN SELATAN,26.07,10.81,18.04
KALIMANTAN TIMUR,21.55,7.86,17.08
KALIMANTAN UTARA,19.39,13.79,17.19
SULAWESI UTARA,18.43,8.92,13.9
SULAWESI TENGAH,25.36,7.8,13.06
SULAWESI SELATAN,21.97,9.42,14.87
SULAWESI TENGGARA,24.05,9.21,15.07
GORONTALO,22.12,10.71,15.54
SULAWESI BARAT,18.7,9.48,11.65
MALUKU,25.25,6.01,14.55
MALUKU UTARA,23.66,6.76,11.65
PAPUA BARAT,17.9,11.05,13.95
PAPUA BARAT DAYA,-,-,-
PAPUA,19.27,3.68,8.14
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,18.88,8.11,14.14
