Tahun, % Akses Internet, Total PDRB, Kenaikan Akses Internet, Kenaikan PDRB
2020, 78.18, 62086676, 6.00, -2.23
2021, 82.07, 67053176, 4.97, 7.99
2022, 86.54, 76817118, 5.45, 14.56
2023, 87.09, 79566500, 0.64, 3.58
2024, 89.76, 84343737, 3.07, 6.00
