38 Provinsi,,,
,Rata-Rata Konsumsi Rumah Tangga untuk Telekomunikasi Menurut Provinsi (Rupiah),,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2022,2022,2022
ACEH,212346.23,126284.66,156327.29
SUMATERA UTARA,196609.77,146984.85,175320.45
SUMATERA BARAT,247349.43,165096.06,206889.97
RIAU,262641.16,205125.66,228351.68
JAMBI,258585.96,151776.95,186889.59
SUMATERA SELATAN,222305.97,126289.96,161764.1
BENGKULU,251430.58,132561.69,172606.2
LAMPUNG,198229.68,118847.45,144136.9
KEP. BANGKA BELITUNG,260791.68,193917.31,232198.11
KEP. RIAU,291410.68,183111.62,280344.72
DKI JAKARTA,331622.81,0,331622.81
JAWA BARAT,213797.88,117416.63,193497.66
JAWA TENGAH,182152.2,126974.28,156146.24
DI YOGYAKARTA,241031.72,145406.26,219007.38
JAWA TIMUR,191700.27,115537.31,158576.17
BANTEN,253311.44,125283.29,223716.34
BALI,270873.9,159465.88,238879.82
NUSA TENGGARA BARAT,131412.83,90601.06,111325.95
NUSA TENGGARA TIMUR,256579.99,120229.39,160006.12
KALIMANTAN BARAT,282552.91,152927.01,202235.1
KALIMANTAN TENGAH,284725,216063.69,245410.92
KALIMANTAN SELATAN,249964.39,164503.08,207310.75
KALIMANTAN TIMUR,356210.63,254885.54,325749.78
KALIMANTAN UTARA,359140.53,259635.33,323422.3
SULAWESI UTARA,209811.31,135734.7,177711.38
SULAWESI TENGAH,249125.11,145348.57,180156.09
SULAWESI SELATAN,234477.88,139501.88,184125.38
SULAWESI TENGGARA,273347.36,147232.28,194036.05
GORONTALO,274836.43,118002.88,189391.99
SULAWESI BARAT,271068.57,130683.56,159301.19
MALUKU,357062.69,195430.77,270864.6
MALUKU UTARA,313548.88,172819.87,216068.54
PAPUA BARAT,375028.81,249556.13,306480.74
PAPUA BARAT DAYA,-,-,-
PAPUA,422095.67,177817.83,295314.21
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,229324.89,136665.17,191477.89
