38 Provinsi,,,
,Rata-Rata Konsumsi Rumah Tangga untuk Telekomunikasi Menurut Provinsi (Rupiah),,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2023,2023,2023
ACEH,220565.33,141367.55,170076.41
SUMATERA UTARA,230390.39,158709.23,199745.88
SUMATERA BARAT,248093.52,179200.14,214318.19
RIAU,298040.46,224815.85,254476.31
JAMBI,279482.13,199166.37,226875.77
SUMATERA SELATAN,238656.3,135900.9,174662.36
BENGKULU,285799.02,150845.52,198304.79
LAMPUNG,209591.47,128214.19,155345.54
KEP. BANGKA BELITUNG,254418.6,213292.15,238004.13
KEP. RIAU,312324.33,202276.75,300267.05
DKI JAKARTA,376447.76,-,376447.76
JAWA BARAT,235010.22,132481.66,213882.73
JAWA TENGAH,184775.38,129647.31,159193.81
DI YOGYAKARTA,267121.91,148434.19,239143.46
JAWA TIMUR,206456.58,123228.34,170808.27
BANTEN,281418.51,141416.86,252896.52
BALI,330981.68,162525.28,282117.83
NUSA TENGGARA BARAT,138525,105962.89,123207.43
NUSA TENGGARA TIMUR,257826.15,133692.79,171220.68
KALIMANTAN BARAT,285882.13,165105.83,211842.15
KALIMANTAN TENGAH,267195.04,221958.06,242099.04
KALIMANTAN SELATAN,240159.72,179464.31,210420.13
KALIMANTAN TIMUR,372198.08,274438.87,342340.66
KALIMANTAN UTARA,360944.44,266197.16,327799.65
SULAWESI UTARA,230460.8,137298.91,190156.77
SULAWESI TENGAH,271429.26,157360.34,196813.24
SULAWESI SELATAN,256287.18,142021.63,195515.56
SULAWESI TENGGARA,244393.74,166117.53,196347.42
GORONTALO,234579.13,123473.02,175814.97
SULAWESI BARAT,224261.02,137268.88,155887.5
MALUKU,388568.58,188934.31,277274.67
MALUKU UTARA,336279.57,220716.08,257556.58
PAPUA BARAT,400333.01,286829.86,337376.53
PAPUA BARAT DAYA,-,-,-
PAPUA,354399.3,177461.84,264134.68
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,247216.93,147617.78,206984.34
