Provinsi,Perkotaan,Perdesaan,Perkotaan+Perdesaan
ACEH,15.41,6.1,9.32
SUMATERA UTARA,12.8,6.96,10.29
SUMATERA BARAT,17.88,8.29,13.12
RIAU,16.97,7.28,11.17
JAMBI,14.8,6.88,9.51
SUMATERA SELATAN,15.63,5.09,9.09
BENGKULU,21.4,7.42,12.11
LAMPUNG,14.26,5.83,8.63
KEP. BANGKA BELITUNG,15.33,6.69,11.69
KEP. RIAU,22.27,7.08,20.49
DKI JAKARTA,25.47,-,25.47
JAWA BARAT,15.4,5.27,13.31
JAWA TENGAH,13.49,6.7,10.29
DI YOGYAKARTA,22.32,10.58,19.37
JAWA TIMUR,15.26,6.84,11.56
BANTEN,16.59,4.18,13.83
BALI,18.97,7.23,15.69
NUSA TENGGARA BARAT,12.76,6.19,9.57
NUSA TENGGARA TIMUR,20.7,7.96,11.31
KALIMANTAN BARAT,14.54,5.08,8.62
KALIMANTAN TENGAH,17.42,6.25,11.05
KALIMANTAN SELATAN,15.79,7.87,11.8
KALIMANTAN TIMUR,19.26,7.95,15.77
KALIMANTAN UTARA,18.71,9.38,15.37
SULAWESI UTARA,15.15,7.4,11.66
SULAWESI TENGAH,20.35,6.96,11.32
SULAWESI SELATAN,17.66,8.31,12.67
SULAWESI TENGGARA,18.48,8.11,12.11
GORONTALO,19.96,8.92,13.86
SULAWESI BARAT,20.31,8.36,10.78
MALUKU,22.33,6.29,13.23
MALUKU UTARA,19.24,6.05,9.89
PAPUA BARAT,16.56,7.71,11.4
PAPUA BARAT DAYA,-,-,-
PAPUA,18.5,1.91,6.7
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,16.43,6.56,12.3
